shot,startSeconds,endSeconds,durationSeconds,representativeSeconds,representativeFrame,representativeFile
S01,0.0,0.1,0.1,0.0,0,shot_reps/S01_0.000.jpg
S02,0.1,6.666667,6.566667000000001,5.8,174,shot_reps/S02_5.800.jpg
S03,6.666667,15.233333,8.566666,14.0,420,shot_reps/S03_14.000.jpg
S04,15.233333,16.6,1.3666670000000014,15.8,474,shot_reps/S04_15.800.jpg
S05,16.6,20.233333,3.633332999999997,19.5,585,shot_reps/S05_19.500.jpg
S06,20.233333,28.2,7.966667000000001,27.0,810,shot_reps/S06_27.000.jpg
S07,28.2,31.166667,2.966667000000001,30.5,915,shot_reps/S07_30.500.jpg
S08,31.166667,37.833333,6.666666000000003,36.8,1104,shot_reps/S08_36.800.jpg
S09,37.833333,41.333333,3.5,40.9,1227,shot_reps/S09_40.900.jpg
S10,41.333333,45.3,3.966666999999994,44.8,1344,shot_reps/S10_44.800.jpg
S11,45.3,50.766667,5.466667000000001,50.5,1515,shot_reps/S11_50.500.jpg
S12,50.766667,55.133333,4.366666000000002,54.9,1647,shot_reps/S12_54.900.jpg
S13,55.133333,58.966667,3.8333340000000007,58.7,1761,shot_reps/S13_58.700.jpg
S14,58.966667,61.433333,2.4666659999999965,61.2,1836,shot_reps/S14_61.200.jpg
S15,61.433333,62.466667,1.0333340000000035,62.3,1869,shot_reps/S15_62.300.jpg
S16,62.466667,63.266667,0.7999999999999972,63.17,1895,shot_reps/S16_63.170.jpg
S17,63.266667,64.233333,0.9666660000000036,64.1,1923,shot_reps/S17_64.100.jpg
S18,64.233333,65.9,1.666667000000004,65.8,1974,shot_reps/S18_65.800.jpg
S19,65.9,71.9,6.0,71.7,2151,shot_reps/S19_71.700.jpg
S20,71.9,83.533333,11.633332999999993,83.2,2496,shot_reps/S20_83.200.jpg
S21,83.533333,96.866667,13.333334000000008,96.5,2895,shot_reps/S21_96.500.jpg
S22,96.866667,97.6,0.7333329999999876,97.4,2922,shot_reps/S22_97.400.jpg
S23,97.6,104.866667,7.266667000000012,104.5,3135,shot_reps/S23_104.500.jpg
S24,104.866667,107.0,2.1333329999999933,106.8,3204,shot_reps/S24_106.800.jpg
S25,107.0,108.033333,1.033332999999999,107.8,3234,shot_reps/S25_107.800.jpg
S26,108.033333,110.153991,2.120658000000006,109.8,3294,shot_reps/S26_109.800.jpg
